purchase_id,user_id,item,amount,timestamp
04e1502a-a761-40c7-bd28-3421243f45fe,d2d33488-d0c3-4018-ae3c-dd4f55b145e4,Boost,44.04,2025-07-03 00:05:07
0bb9a8f6-9e4d-4214-ab03-4c4ee83cdff9,3f5fbf4f-d417-4230-9274-ee11b61df906,Loot Box,68.49,2025-04-05 05:57:55
03ad702e-216a-4bcf-a616-dde4b388300a,42378962-e4fd-4c34-9670-7a2129dc073e,Loot Box,93.38,2025-03-08 21:28:37
4eada8d3-e797-43ae-8cca-0c05a1f619ed,6adfd568-b5ca-4993-aaca-d101f1530f68,Loot Box,43.9,2025-11-15 17:50:38
9c794cdb-74c8-4361-98e8-24e9cb2fbbc3,e4c1d210-74be-4b20-9c32-f8a06a7580e2,Gold Pack,88.16,2025-03-08 06:56:25
d15b5a37-105f-46aa-974e-8f83d5d9a385,1fa382e8-895c-4d99-83b3-8eb403902c5d,Boost,60.16,2025-11-14 11:22:34
98507072-7f44-4bca-9d3a-e1311b388581,87fa841a-3e83-491f-a544-0fe06e417d47,Gold Pack,9.95,2025-11-07 08:51:10
cdf0aaba-1027-4bf7-b877-70f09d99d4c5,3e493f43-b118-468d-a786-d50638ba8abc,Gold Pack,98.96,2025-03-20 16:45:08
d5fd46d7-cfbf-4796-965c-1e3f6d1c31d6,1cbb304b-2ccd-42af-8d64-bb63866cfb2b,Boost,57.47,2025-10-14 13:59:28
1eece891-5301-4fb9-a6ea-0949adab7b01,baa80dd4-88bd-4407-abcf-be01a28defe3,Skins,47.11,2025-09-23 16:09:57
5253b6f7-2328-451e-8bbf-1b30937292e6,8da5d39b-42c2-4797-8426-fcc9255b30e2,Loot Box,90.78,2025-11-05 00:14:36
97d46f61-0bab-4f53-83a4-704f36965c84,f71fb9a6-6dd4-4c96-a744-cb9e6dedcba5,Skins,98.7,2025-03-09 08:38:57
461de017-1ee9-4d3b-902f-4f5c55e39295,781f9d3f-e7f3-49dc-833d-e3ad743b9f71,Loot Box,63.21,2025-02-24 20:25:20
b24070ca-2b05-4167-aa47-8ddfc1eecd7a,109efb40-8ceb-4c57-97e3-23cf6d651847,Loot Box,95.97,2025-05-24 15:58:21
3e5f7e23-704c-49e2-aa3d-d7698dac210d,6a4989a6-8ee2-4e54-bfcb-33888ef4d74b,Loot Box,35.1,2025-08-15 00:30:03
ca826730-1997-4e2e-a224-98130a6b3e3d,1497d658-7010-4719-be69-5d0d8a3c3b5e,Boost,32.46,2025-09-03 12:28:51
28628b4e-c714-4549-a04a-1fe29cc8f772,bd21bc11-be9d-41ee-98b8-72456e8f75a1,Gold Pack,85.06,2025-01-07 01:41:06
01a02047-14aa-4ca3-bca9-e68fe12f3b21,4b8c5bdc-e8dd-4e5a-9712-fb1621a4344f,Boost,41.34,2025-01-03 19:19:57
b4ecfe8d-16d1-45ca-ad17-4fdd2dee003e,4b8c5bdc-e8dd-4e5a-9712-fb1621a4344f,Loot Box,29.25,2025-09-11 02:48:15
6a8d8a70-48a2-4172-a30c-dee297feb937,c66dceb3-4494-4e09-9d3c-a5a4929d6377,Loot Box,80.73,2025-09-27 07:55:16
79dbf407-c5c6-4b7d-8ad0-4982ceb28a32,0ec7d662-905c-4bdd-b4f0-beae6a5943ce,Gold Pack,45.57,2025-09-26 21:14:50
a3cb9e18-24a1-47fd-b4c6-ea9b207c0594,f0b6f83f-a377-46f1-9289-f0ab618ae305,Boost,25.74,2025-04-16 05:26:04
3d3fbbec-697a-4294-b34e-ab1085e9054f,78ae8d5d-fe26-4e77-9b45-47e072fefdc2,Gold Pack,96.08,2025-03-09 18:54:50
98a547b2-09a1-4b34-b111-84e79c4c37b3,366eb16f-508e-4ad7-b7c9-3acfe059a0ee,Loot Box,85.76,2025-03-11 21:43:33
f346bbe7-9caf-4bfe-bff8-a2c6b79a566b,88575117-6155-4667-a112-507c2cfa55b0,Gold Pack,65.45,2025-02-04 04:25:01
4d1b6d80-c857-4c8a-9394-6dc7a08fa1c6,38e59b27-16dc-4a6e-a789-077055ec024a,Loot Box,41.5,2025-05-16 02:13:48
3c52d68a-8ec6-4be5-812b-809e6b358d15,c63d04ee-541c-4a86-bba5-cd2fdea45c19,Skins,51.81,2025-03-16 12:39:51
fa0f01a4-87bb-4f6d-bc92-0c731e14fe04,03438b64-00b3-400f-bc08-899054a27051,Loot Box,62.29,2025-02-07 03:50:17
c2d94cc9-dcdb-414e-9ca5-90579e719a56,b0c58278-54dc-4ba5-a103-5e1ce3bb22ae,Gold Pack,20.95,2025-07-29 14:34:52
c5346e41-76d6-4c39-b822-7b0d81ee30e4,5a853cd8-cbb8-4be0-a355-e636ea8b31f5,Skins,91.91,2025-09-01 07:04:11
0d95ee72-46c3-4497-b546-9cb1a8c9aa31,5c29850b-410b-4c29-be9c-afcfed17f6e9,Loot Box,87.32,2025-03-17 05:35:30
af6c2278-2633-4cc6-8bee-d3e31cd889e2,b64fa54a-8c61-4654-95da-75c1a21150f9,Loot Box,12.9,2025-07-04 05:50:53
ab8e77a1-28e6-4130-ad23-8ed17f5d21f2,caaa5bbe-a4bb-4962-a06e-0e1c8f158449,Skins,70.56,2025-01-17 17:51:59
48f9fd0d-5d3b-41d3-a515-99820dd4c0e6,a38bbaa4-4fe8-48d8-822c-a6a893daf60d,Boost,54.98,2025-03-23 09:31:05
9de7df7b-5594-452b-805a-8e7e6f46a41f,00a21367-94fb-49f0-93c9-3ae77cf07bb3,Loot Box,10.13,2025-11-09 16:34:34
0b16dac4-7401-4bb3-8227-0738e3dc419d,3ae909fe-cc82-48da-8696-f5e64944051b,Gold Pack,46.22,2025-02-10 13:16:30
8990779c-ecc3-4699-8d6d-cb42bd8bf603,ab6ef8dd-5a66-4316-a641-4954c798a445,Gold Pack,64.48,2025-03-10 07:23:28
